ID,DATE,DEXUSEU
230,2016-02-18,1.1092
231,2016-02-19,1.1127
232,2016-02-22,1.1018
233,2016-02-23,1.1016
234,2016-02-24,1.1021
235,2016-02-25,1.1026
236,2016-02-26,1.0932
237,2016-02-29,1.0868
238,2016-03-01,1.0847
239,2016-03-02,1.0845
240,2016-03-03,1.0948
241,2016-03-04,1.1010
242,2016-03-07,1.1004
243,2016-03-08,1.1028
244,2016-03-09,1.1022
245,2016-03-10,1.1162
246,2016-03-11,1.1180
247,2016-03-14,1.1107
248,2016-03-15,1.1112
249,2016-03-16,1.1075
250,2016-03-17,1.1316
251,2016-03-18,1.1292
252,2016-03-21,1.1260
253,2016-03-22,1.1228
254,2016-03-23,1.1174
255,2016-03-24,1.1163
256,2016-03-25,1.1164
257,2016-03-28,1.1210
258,2016-03-29,1.1204
259,2016-03-30,1.1330
260,2016-03-31,1.1390
261,2016-04-01,1.1385
262,2016-04-04,1.1386
263,2016-04-05,1.1374
264,2016-04-06,1.1430
265,2016-04-07,1.1386
266,2016-04-08,1.1406
267,2016-04-11,1.1412
268,2016-04-12,1.1395
269,2016-04-13,1.1281
270,2016-04-14,1.1262
271,2016-04-15,1.1295
272,2016-04-18,1.1322
273,2016-04-19,1.1375
274,2016-04-20,1.1330
275,2016-04-21,1.1301
276,2016-04-22,1.1239
277,2016-04-25,1.1274
278,2016-04-26,1.1318
279,2016-04-27,1.1322
280,2016-04-28,1.1325
281,2016-04-29,1.1441
282,2016-05-02,1.1516
283,2016-05-03,1.1508
284,2016-05-04,1.1486
285,2016-05-05,1.1404
286,2016-05-06,1.1421
287,2016-05-09,1.1402
288,2016-05-10,1.1386
289,2016-05-11,1.1444
290,2016-05-12,1.1380
291,2016-05-13,1.1294
292,2016-05-16,1.1328
293,2016-05-17,1.1337
294,2016-05-18,1.1276
295,2016-05-19,1.1214
296,2016-05-20,1.1207
297,2016-05-23,1.1192
298,2016-05-24,1.1145
299,2016-05-25,1.1154
300,2016-05-26,1.1184
301,2016-05-27,1.1140
302,2016-05-30,.
303,2016-05-31,1.1135
304,2016-06-01,1.1165
305,2016-06-02,1.1157
306,2016-06-03,1.1330
307,2016-06-06,1.1354
308,2016-06-07,1.1350
309,2016-06-08,1.1400
310,2016-06-09,1.1329
311,2016-06-10,1.1281
312,2016-06-13,1.1282
313,2016-06-14,1.1206
314,2016-06-15,1.1239
315,2016-06-16,1.1158
